Seed,Policy,Estimated Path
161,random_walk,"(6, 5)",E
161,random_walk,"(6, 4)",N
161,random_walk,"(6, 5)",N
161,random_walk,"(5, 5)",N
161,random_walk,"(4, 5)",N
161,random_walk,"(4, 4)",N
161,random_walk,"(4, 3)",N
161,random_walk,"(4, 2)",N
161,random_walk,"(3, 2)",N
161,random_walk,"(2, 2)",N
161,random_walk,"(2, 1)",N
161,random_walk,"(1, 1)",N
161,random_walk,"(2, 1)",N
161,random_walk,"(1, 1)",N
161,random_walk,"(1, 2)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(0, 2)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(0, 4)",N
161,random_walk,"(0, 5)",N
161,random_walk,"(0, 4)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(1, 2)",N
161,random_walk,"(2, 2)",N
161,random_walk,"(3, 2)",N
161,random_walk,"(3, 3)",N
161,random_walk,"(2, 3)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(0, 2)",N
161,random_walk,"(0, 3)",N
161,random_walk,"(0, 2)",N
161,random_walk,"(1, 2)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(1, 2)",N
161,random_walk,"(0, 2)",N
161,random_walk,"(1, 2)",N
161,random_walk,"(1, 3)",N
161,random_walk,"(2, 3)",N
161,random_walk,"(2, 4)",N
161,random_walk,"(2, 5)",N
161,random_walk,"(2, 4)",N
161,random_walk,"(3, 4)",N
161,random_walk,"(4, 4)",N
161,random_walk,"(4, 3)",N
161,random_walk,"(4, 2)",N
161,straight_until_obstacle,"(5, 4)",N
161,straight_until_obstacle,"(5, 3)",N
161,straight_until_obstacle,"(5, 2)",N
161,straight_until_obstacle,"(5, 1)",N
161,straight_until_obstacle,"(5, 0)",N
161,straight_until_obstacle,"(5, 0)",E
161,straight_until_obstacle,"(6, 0)",E
161,straight_until_obstacle,"(7, 0)",E
161,straight_until_obstacle,"(8, 0)",E
161,straight_until_obstacle,"(9, 0)",E
161,straight_until_obstacle,"(9, 0)",S
161,straight_until_obstacle,"(9, 1)",S
161,straight_until_obstacle,"(9, 2)",S
161,straight_until_obstacle,"(9, 3)",S
161,straight_until_obstacle,"(9, 4)",S
161,straight_until_obstacle,"(9, 5)",S
161,straight_until_obstacle,"(9, 6)",S
161,straight_until_obstacle,"(9, 7)",S
161,straight_until_obstacle,"(9, 8)",S
161,straight_until_obstacle,"(9, 9)",S
161,straight_until_obstacle,"(9, 9)",N
161,straight_until_obstacle,"(9, 8)",N
161,straight_until_obstacle,"(9, 7)",N
161,straight_until_obstacle,"(9, 6)",N
161,straight_until_obstacle,"(9, 5)",N
161,straight_until_obstacle,"(9, 4)",N
161,straight_until_obstacle,"(9, 3)",N
161,straight_until_obstacle,"(9, 2)",N
161,straight_until_obstacle,"(9, 1)",N
161,straight_until_obstacle,"(9, 0)",N
161,straight_until_obstacle,"(9, 0)",W
161,straight_until_obstacle,"(8, 0)",W
161,straight_until_obstacle,"(7, 0)",W
161,straight_until_obstacle,"(6, 0)",W
161,straight_until_obstacle,"(5, 0)",W
161,straight_until_obstacle,"(4, 0)",W
161,straight_until_obstacle,"(3, 0)",W
161,straight_until_obstacle,"(2, 0)",W
161,straight_until_obstacle,"(1, 0)",W
161,straight_until_obstacle,"(0, 0)",W
161,straight_until_obstacle,"(0, 0)",E
161,straight_until_obstacle,"(1, 0)",E
161,straight_until_obstacle,"(2, 0)",E
161,straight_until_obstacle,"(3, 0)",E
161,straight_until_obstacle,"(4, 0)",E
161,straight_until_obstacle,"(5, 0)",E
161,straight_until_obstacle,"(6, 0)",E
161,straight_until_obstacle,"(7, 0)",E
161,straight_until_obstacle,"(8, 0)",E
161,straight_until_obstacle,"(9, 0)",E
