Seed,Policy,Estimated Path
61,random_walk,"(6, 5)",E
61,random_walk,"(6, 6)",N
61,random_walk,"(7, 6)",N
61,random_walk,"(6, 6)",N
61,random_walk,"(6, 7)",N
61,random_walk,"(6, 8)",N
61,random_walk,"(6, 7)",N
61,random_walk,"(6, 8)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(6, 8)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(4, 8)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 6)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(6, 7)",N
61,random_walk,"(6, 8)",N
61,random_walk,"(6, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(3, 9)",N
61,random_walk,"(4, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(6, 9)",N
61,random_walk,"(6, 8)",N
61,random_walk,"(6, 9)",N
61,random_walk,"(5, 9)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 8)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 6)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(5, 6)",N
61,random_walk,"(5, 7)",N
61,random_walk,"(6, 7)",N
61,random_walk,"(5, 7)",N
61,straight_until_obstacle,"(5, 4)",N
61,straight_until_obstacle,"(5, 3)",N
61,straight_until_obstacle,"(5, 2)",N
61,straight_until_obstacle,"(5, 1)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",N
61,straight_until_obstacle,"(5, 0)",E
61,straight_until_obstacle,"(6, 0)",E
61,straight_until_obstacle,"(7, 0)",E
61,straight_until_obstacle,"(8, 0)",E
61,straight_until_obstacle,"(9, 0)",E
61,straight_until_obstacle,"(9, 0)",S
61,straight_until_obstacle,"(9, 1)",S
61,straight_until_obstacle,"(9, 2)",S
61,straight_until_obstacle,"(9, 3)",S
61,straight_until_obstacle,"(9, 4)",S
61,straight_until_obstacle,"(9, 5)",S
61,straight_until_obstacle,"(9, 6)",S
61,straight_until_obstacle,"(9, 7)",S
61,straight_until_obstacle,"(9, 8)",S
61,straight_until_obstacle,"(9, 9)",S
61,straight_until_obstacle,"(9, 9)",N
61,straight_until_obstacle,"(9, 8)",N
61,straight_until_obstacle,"(9, 7)",N
61,straight_until_obstacle,"(9, 6)",N
61,straight_until_obstacle,"(9, 5)",N
61,straight_until_obstacle,"(9, 4)",N
61,straight_until_obstacle,"(9, 3)",N
61,straight_until_obstacle,"(9, 2)",N
61,straight_until_obstacle,"(9, 1)",N
61,straight_until_obstacle,"(9, 0)",N
61,straight_until_obstacle,"(9, 0)",W
61,straight_until_obstacle,"(8, 0)",W
61,straight_until_obstacle,"(7, 0)",W
61,straight_until_obstacle,"(6, 0)",W
61,straight_until_obstacle,"(5, 0)",W
61,straight_until_obstacle,"(4, 0)",W
61,straight_until_obstacle,"(3, 0)",W
61,straight_until_obstacle,"(2, 0)",W
61,straight_until_obstacle,"(1, 0)",W
61,straight_until_obstacle,"(0, 0)",W
61,straight_until_obstacle,"(0, 0)",N
